Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
436933,436354,2,2045,6,2,4,6,1,3,1,3,1,17
428588,434755,1,1053,6,1,1,1,1,9,3,3,2,75
426860,440084,1,1745,6,1,4,1,1,9,3,2,2,84
433585,435757,2,1640,6,1,1,1,2,9,2,3,2,6
425056,433371,2,720,4,2,1,2,2,9,1,3,1,21
431797,431381,2,1330,3,2,1,2,2,2,1,3,2,26
430646,434664,2,1355,3,1,1,1,1,9,2,3,2,25
428476,425844,2,1650,3,1,7,1,2,9,1,3,2,53
425430,440289,3,1315,6,2,1,5,1,5,1,2,1,21
430740,434684,1,1702,6,2,1,4,1,11,3,3,1,28
434620,441231,2,748,6,2,1,4,1,9,1,3,2,19
434620,441231,2,748,6,2,1,4,2,19,1,3,1,36
432063,427598,2,1425,1,2,1,4,2,9,1,3,1,69
428301,434132,3,1700,3,1,1,1,3,9,1,3,1,25
423163,434663,1,1845,3,1,4,1,1,9,1,3,1,24
429862,426401,3,1919,1,2,4,5,2,19,1,3,1,52
431144,436258,2,715,6,1,1,1,2,9,1,3,1,51
431520,426436,2,910,1,1,1,1,2,9,1,3,1,34
425374,435317,2,1130,6,1,1,4,2,1,1,3,1,21
432635,428506,3,1700,3,1,1,4,2,9,1,3,1,51
428522,435686,2,851,6,2,1,1,2,1,1,3,2,26
436149,434890,2,1138,3,1,1,1,2,9,2,3,1,24
429617,433434,1,1209,6,1,1,1,1,19,3,3,2,54
424993,432939,1,745,6,1,1,4,1,9,3,3,2,12
424121,428200,2,1655,3,2,1,4,1,9,2,3,1,8
428859,430974,2,1256,5,2,1,5,1,9,2,3,1,28
429719,433500,1,1130,6,1,1,1,1,8,3,3,2,26
420081,435349,2,1540,6,2,1,5,2,9,1,3,2,37
429653,432931,2,2200,6,1,7,1,2,8,2,3,1,50
431482,435007,2,930,6,1,1,1,1,9,1,3,2,29
419473,445032,2,1646,3,1,1,1,2,1,1,3,2,34
428403,435451,2,1736,6,1,1,1,2,1,1,3,1,36
432075,426273,2,1003,1,1,1,1,1,9,1,3,1,62
425967,429204,3,731,1,1,1,1,2,9,1,3,1,24
421516,433599,2,750,6,1,1,1,2,1,1,2,1,35
428066,434831,1,730,6,1,1,1,1,9,3,3,1,10
438295,432225,2,750,6,1,1,1,2,9,1,3,1,36
438295,432225,2,750,6,1,1,1,2,9,2,3,2,12
438295,432225,2,750,6,1,1,1,2,9,2,3,2,9
438295,432225,2,750,6,1,1,1,2,9,2,3,2,7
432891,430263,2,1345,4,1,1,1,2,9,2,3,2,45
431050,445636,1,1421,3,1,1,1,1,9,2,2,1,89
431050,445636,1,1421,3,1,1,1,1,9,1,3,1,61
445228,431837,1,1625,2,1,1,1,1,9,1,2,2,20
445228,431837,1,1625,2,1,1,1,1,9,2,2,1,20
426034,428248,2,1725,6,1,1,1,1,1,1,3,1,14
427966,433620,2,750,3,1,1,1,2,1,1,3,1,30
426822,434974,2,1308,3,1,1,1,1,9,1,3,2,62
426822,434974,2,1308,3,1,1,1,1,9,2,3,1,95
426302,431692,1,1720,3,1,1,1,1,9,3,2,2,23
422303,427958,2,1941,3,1,4,1,1,9,1,2,1,24
422303,427958,2,1941,3,1,4,1,1,9,2,2,1,50
422303,427958,2,1941,3,1,4,1,2,9,1,3,1,37
434260,434309,2,1232,3,1,1,1,2,3,1,1,1,68
432338,434973,2,840,4,1,1,1,2,9,1,3,2,29
430892,433487,2,1652,6,1,1,1,2,1,1,3,1,58
425303,428867,1,111,4,1,5,1,1,3,1,1,1,22
432235,426269,2,1234,1,1,1,1,2,11,2,2,2,53
430764,438435,2,1345,6,1,1,1,2,9,1,3,2,28
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,31
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,18
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,7
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,2
430833,433959,2,208,3,1,4,1,2,9,2,3,2,70
427703,434718,2,1709,6,1,1,1,2,19,1,3,1,20
429149,431792,2,810,6,1,1,1,2,9,1,3,1,28
429873,427362,2,855,6,1,1,1,2,9,2,3,1,8
429964,434206,2,1346,6,1,1,1,1,1,1,3,1,19
424913,433473,1,1545,6,1,1,1,1,97,3,3,2,5
431251,428894,2,1546,6,1,1,1,2,3,1,2,1,18
431614,429961,1,1900,6,1,4,1,1,5,1,2,1,36
435960,435772,2,2122,6,1,4,1,2,9,1,3,1,45
431818,435608,5,2327,3,1,4,1,2,9,1,3,1,40
431818,435608,5,2327,3,1,4,1,4,9,1,3,1,23
427700,431038,1,1700,1,1,1,1,1,21,3,3,2,18
434393,428822,1,1530,6,1,1,1,1,9,3,3,2,2
429848,432292,2,308,6,1,4,1,1,9,1,3,1,41
429848,432292,2,308,6,1,4,1,1,9,2,3,1,38
429848,432292,2,308,6,1,4,1,2,19,1,3,1,57
424055,439077,3,1159,6,1,1,1,1,9,1,3,1,73
430798,432390,1,1750,3,1,1,1,1,9,3,2,2,24
427583,433915,1,1946,6,1,4,1,1,3,3,2,1,18
429852,432291,2,2008,3,1,4,1,2,9,1,3,2,22
435715,434719,2,920,6,1,1,1,1,9,2,3,2,57
431462,432136,2,1825,6,1,1,1,2,8,1,3,1,41
437157,445577,2,1616,6,1,1,1,1,9,1,3,2,36
420069,440808,2,1653,3,1,1,1,2,1,1,3,1,57
437097,444135,3,1615,3,1,1,1,2,9,1,3,1,57
434819,434613,1,1000,3,1,1,1,1,11,2,3,2,67
429481,433783,2,900,3,1,1,1,2,1,1,3,1,69
427019,433105,1,1315,6,1,1,1,1,9,3,3,2,24
426820,437994,2,1545,3,1,1,1,2,9,1,3,2,64
433652,441921,2,833,6,1,1,1,2,1,2,2,1,56
426206,427501,2,930,6,1,1,1,2,1,1,3,1,28
436096,434804,2,1110,6,1,1,1,1,9,2,3,1,12
420866,434619,3,1135,3,1,1,1,1,9,1,3,1,31
420866,434619,3,1135,3,1,1,1,1,9,2,3,1,23
420866,434619,3,1135,3,1,1,1,1,9,2,2,2,19
427503,429774,2,1416,6,1,1,1,2,9,1,3,1,22
427503,429774,2,1416,6,1,1,1,1,9,3,3,1,15
427503,429774,2,1416,6,1,1,1,1,9,3,3,1,16
425247,435203,2,1444,6,1,1,1,2,4,1,2,1,27
421772,435301,2,1600,6,1,1,1,2,5,1,3,1,37
429158,431642,2,1615,6,1,1,1,2,8,2,3,2,24
431157,436395,3,2259,4,2,4,2,1,9,1,3,2,63
442620,427049,2,930,3,1,1,1,2,1,1,3,1,48
441119,449123,2,1002,2,1,1,1,2,9,1,3,2,46
427079,426116,2,1412,1,1,1,1,2,9,1,3,2,22
427079,426116,2,1412,1,1,1,1,2,9,2,3,1,22
430069,433832,1,1300,3,1,1,1,1,9,3,3,1,30
424190,434807,1,1340,6,1,1,1,1,9,3,3,1,13
431929,433576,2,1420,6,1,1,1,2,2,1,3,1,60
422376,433974,3,1733,3,1,1,1,2,9,1,3,2,28
429026,437513,2,1900,6,1,1,1,1,9,1,3,2,26
429026,437513,2,1900,6,1,1,1,2,9,1,3,1,31
426465,435683,2,1045,6,1,1,1,2,1,1,3,1,29
428979,429107,6,1640,6,1,1,1,2,9,2,3,2,44
428979,429107,6,1640,6,1,1,1,3,9,1,3,1,30
428979,429107,6,1640,6,1,1,1,5,9,1,3,2,19
428979,429107,6,1640,6,1,1,1,5,9,2,3,2,18
426954,433362,3,2011,6,1,4,1,3,9,1,3,1,20
426954,433362,3,2011,6,1,4,1,3,9,2,3,2,19
432523,427557,2,2244,3,2,4,1,1,9,1,3,1,38
432523,427557,2,2244,3,2,4,1,2,9,1,3,2,23
430741,430567,2,1200,1,1,1,1,2,9,2,3,2,37
439321,426151,2,2105,6,1,7,1,2,1,1,3,1,14
428610,434848,1,28,6,1,7,1,1,9,1,3,1,32
433150,432309,2,900,6,1,1,1,2,1,1,3,1,33
433391,434069,2,1302,6,1,1,1,2,22,1,2,1,76
427466,436555,2,1605,6,1,1,1,2,1,1,3,1,21
427127,434793,1,0,3,1,1,1,1,3,1,3,2,31
426484,433523,1,1730,6,1,1,1,1,11,2,2,2,62
427834,433379,1,2105,6,1,4,1,1,9,2,2,1,18
433742,426701,2,1530,6,1,1,1,1,5,1,3,1,48
429816,434406,2,1500,3,1,1,1,2,9,1,3,2,42
424577,435158,2,1450,6,1,1,1,2,9,1,3,1,35
428981,425982,4,1520,3,1,1,1,2,9,2,3,1,7
428981,425982,4,1520,3,1,1,1,2,9,2,3,1,9
435794,425983,2,1609,1,1,1,1,1,9,1,3,2,43
435794,425983,2,1609,1,1,1,1,2,9,1,3,2,20
432254,434690,2,1607,6,1,1,1,2,9,1,3,1,50
427465,431903,3,1710,3,1,1,1,1,9,1,3,1,27
430511,425152,2,1002,6,1,1,1,1,9,2,3,2,85
430477,435598,2,1800,3,1,1,1,1,1,1,3,1,16
430124,433381,1,1655,6,1,1,1,1,11,3,3,1,29
430241,433266,1,238,6,1,4,1,1,8,3,2,2,41
427209,430643,2,1445,1,9,1,9,2,9,1,3,1,65
430814,433937,2,1529,3,1,1,1,1,1,1,3,1,13
424900,437958,2,745,6,1,1,1,1,8,2,3,2,38
428799,430468,2,1015,6,1,1,1,2,9,1,3,2,32
429048,432363,2,1340,6,1,1,1,2,1,1,3,1,21
431114,435189,3,1430,6,1,1,1,1,9,2,3,1,20
431114,435189,3,1430,6,1,1,1,1,9,2,3,2,17
432731,427497,2,1644,6,1,1,1,2,1,1,3,1,29
431383,424983,3,1747,1,1,1,1,2,9,1,3,2,30
424578,435157,1,1050,3,1,1,1,1,11,2,3,2,80
424158,428190,2,1503,3,1,1,1,1,9,2,3,2,43
424647,428146,1,812,6,1,1,1,1,19,3,2,1,26
430631,433738,1,1450,6,1,1,1,1,9,3,2,1,8
430838,433997,2,1240,6,1,1,1,2,1,1,3,1,42
427676,435058,2,1700,6,1,1,1,2,9,1,3,2,24
437565,429652,3,2045,6,1,6,1,2,9,1,2,1,39
425911,436694,2,2126,6,1,4,1,2,4,1,2,1,39
443344,439007,2,740,1,1,1,1,1,9,1,3,1,28
433869,434042,2,935,4,1,1,1,2,1,1,3,1,31
431652,430543,2,956,1,1,1,1,2,5,1,3,1,36
425309,440914,2,1430,6,1,1,1,1,1,1,3,1,10
445374,431776,4,1300,2,1,1,1,2,9,1,3,2,37
445374,431776,4,1300,2,1,1,1,2,9,2,3,2,37
445374,431776,4,1300,2,1,1,1,3,9,2,3,2,10
445374,431776,4,1300,2,1,1,1,3,9,2,3,1,11
445374,431776,4,1300,2,1,1,1,4,9,1,3,1,35
435512,434799,1,2140,6,1,7,1,1,9,3,3,1,58
428454,428617,1,1747,3,1,1,1,1,9,1,3,1,27
422439,427907,2,1344,3,1,1,1,1,9,1,3,1,30
422439,427907,2,1344,3,1,1,1,1,9,2,3,2,30
430350,434777,1,1515,6,1,1,1,1,9,3,3,1,1
430054,431089,2,1655,6,1,1,1,1,1,1,3,2,25
431295,435614,1,1749,6,1,1,1,1,9,3,3,1,3
432136,433587,3,1750,3,1,1,1,3,1,1,2,1,22
435873,436373,2,1615,3,1,1,1,2,9,1,3,2,38
435873,436373,2,1615,3,1,1,1,2,9,2,3,2,46
428541,431539,2,1210,3,1,1,1,2,9,1,3,1,25
430860,434162,2,1547,6,1,1,1,2,1,1,3,1,33
439327,432427,1,2230,6,1,4,1,1,9,1,3,1,30
426008,428229,3,1155,6,1,1,1,3,1,1,3,1,18
429538,431090,1,1520,6,1,1,1,1,9,3,3,1,14
430431,437061,1,1645,6,1,1,1,1,9,3,3,1,48
437614,429691,2,1715,3,1,1,1,1,5,1,2,1,26
425093,431059,2,2235,6,1,4,1,2,9,1,3,1,43
431257,429730,3,1126,6,1,1,1,1,3,1,2,1,22
431655,435326,2,1300,3,1,1,1,2,19,1,3,1,37
427172,433659,2,1946,3,1,1,1,1,4,1,2,1,39
431890,435661,1,1500,6,1,1,1,1,9,3,3,1,17
430063,433772,1,1733,6,1,1,1,1,9,3,2,2,20
428933,425983,2,1945,3,1,1,1,1,9,1,3,2,32
428933,425983,2,1945,3,1,1,1,2,9,2,3,1,9
429536,434221,1,1952,2,1,1,1,1,5,1,2,1,50
428503,434474,2,2315,6,1,4,1,2,1,1,3,1,23
419534,441610,1,1116,3,1,1,1,1,9,3,2,2,12
421553,435972,1,1533,3,1,1,1,1,9,3,2,2,13
421553,435972,1,1533,3,1,1,1,1,9,3,3,2,13
430736,435008,2,1620,3,1,1,1,2,11,2,3,2,74
422673,437258,2,1630,3,1,1,1,2,9,1,3,1,26
422673,437258,2,1630,3,1,1,1,2,9,2,3,2,27
422673,437258,2,1630,3,1,1,1,2,9,2,3,1,27
422673,437258,2,1630,3,1,1,1,2,9,2,3,1,27
435429,439804,2,1035,3,1,1,1,1,9,2,2,2,88
435429,439804,2,1035,3,1,1,1,1,9,1,2,2,83
435429,439804,2,1035,3,1,1,1,2,9,1,3,2,42
435429,439804,2,1035,3,1,1,1,2,9,2,3,1,17
431402,435029,2,1900,6,1,1,1,1,1,1,2,1,28
431887,435026,1,2141,6,1,4,1,1,9,3,3,1,11
430937,433301,1,106,3,1,4,1,1,90,3,3,1,26
442111,427617,3,1047,6,1,1,1,3,19,1,3,2,47
423084,434894,2,1803,6,1,1,1,2,3,1,3,1,22
433982,433995,1,2140,4,1,1,1,1,4,1,3,1,17
435188,435710,1,1940,6,1,1,1,1,11,2,3,2,69
431422,435057,1,2146,6,1,4,1,1,9,3,2,1,31
430524,437028,3,1021,6,1,1,1,1,9,1,3,1,36
430524,437028,3,1021,6,1,1,1,2,9,1,3,2,43
435638,425906,2,840,1,1,1,1,2,9,1,3,2,38
424899,434907,2,1710,6,1,1,1,2,3,1,3,1,20
436751,433643,1,1804,3,1,1,1,1,9,3,3,2,64
424992,432896,2,930,4,1,1,1,2,19,1,3,1,52
432133,429422,2,1023,1,1,1,1,1,19,1,3,1,33
432133,429422,2,1023,1,1,1,1,2,9,1,3,1,52
433271,429060,2,1420,6,1,1,1,2,4,2,3,1,19
429895,433695,1,1102,6,1,1,1,1,9,3,3,2,34
432240,435018,2,1802,6,2,1,1,2,9,1,3,1,42
432240,435018,2,1802,6,2,1,1,2,9,2,3,2,38
424005,434533,2,1556,6,1,1,1,1,9,2,3,2,9
427722,434064,3,2000,6,1,1,1,2,9,1,3,1,30
431398,435816,1,900,6,1,1,1,1,9,3,3,2,4
429675,433381,1,858,6,1,1,1,1,19,3,3,2,26
424143,428165,2,1025,3,1,1,1,1,9,2,3,2,55
430870,435486,2,1700,6,1,1,1,1,9,2,3,1,77
428345,431276,1,1400,6,1,1,1,1,19,3,3,1,54
423816,438093,1,1455,6,2,1,2,1,9,3,2,2,81
428142,435848,2,1656,3,1,1,1,2,1,1,3,1,29
430325,433305,1,2000,6,1,1,1,1,11,3,2,1,36
423890,434278,2,1315,6,1,1,1,2,9,1,3,1,40
429241,427955,1,1340,6,2,1,1,1,11,3,2,1,6
442620,428001,3,1150,3,1,1,1,2,3,1,3,1,60
442620,428001,3,1150,3,1,1,1,3,9,1,3,2,58
427947,435947,1,1645,6,1,1,1,1,9,3,2,1,37
428219,436262,1,2248,6,1,1,1,1,9,3,3,1,18
435513,433299,1,5,6,1,4,1,1,9,2,2,2,25
427520,435875,2,242,4,1,4,1,1,9,1,3,2,20
427520,435875,2,242,4,1,4,1,2,9,1,3,1,48
427520,435875,2,242,4,1,4,1,2,9,2,3,1,29
428336,429529,2,954,3,1,1,1,2,9,1,3,2,30
429796,433786,2,1400,6,1,1,1,2,8,1,3,1,52
417950,443044,3,1437,3,1,1,1,2,9,1,3,2,69
440434,446486,1,845,2,1,1,1,1,9,1,3,2,34
429391,433839,2,1255,2,1,1,1,2,9,2,3,1,24
434065,435140,3,1715,6,1,1,1,2,9,1,3,1,61
420109,444969,2,810,3,1,1,1,2,9,1,3,1,63
429968,436639,2,859,3,1,1,1,2,1,1,3,2,43
426846,438036,2,905,3,1,1,1,2,1,1,3,1,51
430857,434346,1,959,3,1,1,1,1,9,1,2,1,66
430857,434346,1,959,3,1,1,1,1,9,2,3,2,62
429333,430476,2,1545,6,1,1,1,1,9,1,3,2,33
424528,435097,1,1513,6,2,1,2,1,9,2,3,2,58
432179,426091,1,1605,1,1,1,1,1,9,1,3,1,50
429137,433089,3,957,6,1,1,1,3,19,1,3,1,61
430801,435342,2,1450,6,1,1,1,1,9,1,3,2,63
424269,429073,2,1055,6,1,1,1,1,9,3,3,2,66
427972,433617,2,1800,3,1,1,1,2,9,1,3,2,67
432009,436161,2,1323,6,1,1,1,2,9,1,3,2,41
430906,432294,2,243,3,1,4,1,1,9,1,3,2,24
430906,432294,2,243,3,1,4,1,2,8,1,3,1,46
429602,434277,1,1039,2,1,1,1,1,9,1,3,1,32
430408,431800,1,1420,1,3,1,8,1,5,1,3,1,29
431889,435693,2,2040,6,1,1,1,1,9,1,3,2,41
431889,435693,2,2040,6,1,1,1,1,9,2,3,1,66
431889,435693,2,2040,6,1,1,1,1,9,2,3,2,37
442243,442962,4,1622,3,1,1,1,1,9,1,3,1,22
442243,442962,4,1622,3,1,1,1,2,9,2,3,2,45
423808,439246,2,825,6,2,1,2,2,3,1,3,2,43
431638,437180,2,830,6,1,1,1,2,1,1,2,1,15
425996,428206,2,1113,6,2,1,1,2,9,2,3,2,29
428377,434060,2,945,3,2,1,2,2,1,1,3,2,62
429989,434179,2,1710,3,2,1,1,2,9,1,3,1,36
430035,433378,1,1340,6,2,1,2,1,11,2,3,1,70
427943,436117,2,1610,3,1,1,1,2,1,1,3,1,51
431067,434319,2,1920,6,1,1,1,2,9,1,3,1,37
422156,436666,2,918,3,1,1,1,1,2,1,3,1,24
429586,434718,1,1000,3,2,1,2,1,11,2,3,2,58
432193,444976,2,1223,3,2,1,2,1,9,1,3,2,21
432193,444976,2,1223,3,2,1,2,2,9,2,3,2,56
435236,437607,2,1301,3,1,1,1,2,19,3,3,1,56
427772,432628,2,1541,6,2,1,5,2,9,1,2,1,54
427772,432628,2,1541,6,2,1,5,1,9,1,2,1,18
427772,432628,2,1541,6,2,1,5,1,9,2,2,1,17
427772,432628,2,1541,6,2,1,5,1,9,2,3,1,18
427772,432628,2,1541,6,2,1,5,1,9,2,3,1,18
427772,432628,2,1541,6,2,1,5,1,9,2,3,1,18
432288,435052,1,1810,6,2,1,2,1,9,3,3,1,34
428902,429818,2,2000,6,2,1,1,1,9,1,3,2,44
428902,429818,2,2000,6,2,1,1,1,9,2,3,2,25
428902,429818,2,2000,6,2,1,1,2,9,1,3,2,31
428902,429818,2,2000,6,2,1,1,2,9,2,3,2,12
431885,435489,2,2035,6,2,1,2,2,3,1,3,1,28
440613,429143,2,2200,6,1,4,1,2,3,1,3,1,20
427963,434367,2,2246,6,1,6,1,1,1,1,3,1,34
435501,433594,2,1744,6,1,1,1,2,11,2,3,1,36
435501,433594,2,1744,6,1,1,1,2,11,2,3,1,5
435501,433594,2,1744,6,1,1,1,2,11,2,3,1,6
432648,435855,2,1820,6,1,1,1,2,9,1,3,1,64
432648,435855,2,1820,6,1,1,1,2,9,2,3,1,16
436216,425907,2,1925,1,1,1,1,2,9,2,3,2,75
423350,434592,3,915,4,1,1,1,1,9,1,3,2,46
429384,431368,1,1620,6,1,1,1,1,19,3,3,1,8
432162,427247,3,710,1,1,1,1,3,9,1,3,1,40
427718,436114,2,845,6,1,1,1,2,1,1,3,1,27
423035,435212,1,1505,6,1,1,1,1,9,3,2,2,14
431085,434209,2,950,6,1,1,1,2,1,1,3,2,25
415992,442974,2,731,6,1,4,1,1,9,1,3,2,50
425458,437945,2,845,3,1,1,1,2,9,1,3,2,38
422233,433553,1,850,4,1,1,1,1,9,3,2,2,63
431591,430986,2,1715,6,1,1,1,2,1,1,2,1,12
431336,435048,2,1240,6,1,1,1,1,1,1,3,1,51
433212,426335,2,1530,6,1,1,1,2,9,2,3,2,11
423531,435422,1,1700,4,1,1,2,1,9,3,2,1,30
434203,436974,2,2110,3,1,4,1,2,5,1,3,1,47
431871,435947,2,2200,6,1,1,1,2,9,1,3,1,27
434925,437444,3,1615,6,1,1,1,2,9,1,3,2,30
434925,437444,3,1615,6,1,1,1,2,9,2,3,2,30
434925,437444,3,1615,6,1,1,1,2,9,2,3,2,7
426436,433296,1,1645,6,1,1,1,1,9,3,3,2,52
429780,438894,2,640,3,1,1,1,2,1,1,3,1,42
430297,433832,1,1825,6,1,1,1,1,8,3,3,1,29
442073,431753,1,1954,3,1,1,1,1,3,1,2,2,25
432131,429375,2,900,3,1,1,1,2,1,1,3,1,44
438037,438422,4,1515,3,1,1,1,2,9,1,3,2,73
438037,438422,4,1515,3,1,1,1,3,9,2,3,2,25
438037,438422,4,1515,3,1,1,1,3,9,2,3,2,31
430079,434406,2,1605,2,1,1,1,2,9,1,3,2,43
430836,433983,2,1615,6,1,1,1,1,9,2,3,2,10
433087,435820,2,2100,6,1,1,1,2,9,1,3,1,35
429978,437643,2,1830,6,1,1,1,1,2,1,3,1,26
427569,436879,2,1710,3,1,1,1,2,1,1,3,1,38
429133,431868,1,1700,6,1,1,1,1,4,3,3,1,28
430707,438575,2,1911,6,1,1,1,2,4,1,3,1,37
430512,433453,1,1330,6,1,1,1,1,11,2,3,2,51
432859,435383,2,1445,6,1,1,1,2,9,1,3,1,77
432133,434947,2,1800,6,1,1,1,2,1,1,3,1,24
424965,432221,1,755,6,1,1,1,1,9,3,3,2,12
431300,437028,2,1900,6,1,1,1,1,9,1,3,2,27
427169,435879,2,1906,6,1,1,1,2,1,1,2,2,22
435758,434450,2,2312,6,1,4,1,1,9,1,3,2,35
434580,430848,1,824,1,1,1,1,1,9,1,3,1,21
433562,435270,2,900,6,1,1,1,1,1,1,3,1,16
429334,433240,1,1218,4,1,1,1,1,5,3,2,2,44
432786,436848,2,1600,6,1,1,1,1,5,1,3,1,60
428882,430127,2,2005,6,1,1,1,2,9,1,3,2,40
421917,432966,2,1037,4,1,1,1,2,1,1,3,1,31
431693,425283,4,1115,1,1,1,1,2,9,1,3,1,55
431693,425283,4,1115,1,1,1,1,3,9,1,3,1,47
434136,433895,2,1350,4,1,1,1,2,11,2,2,2,63
434136,433895,2,1350,4,1,1,1,2,11,2,3,2,44
434136,433895,2,1350,4,1,1,1,2,11,2,3,2,40
434615,441233,2,1500,6,2,1,2,2,3,1,3,1,22
431274,434604,2,1535,6,1,1,1,2,9,2,3,2,30
429468,430993,2,1700,6,2,1,2,1,1,1,2,1,19
428089,434900,2,1818,6,1,1,1,2,9,1,3,2,26
418143,442485,2,1910,3,2,1,2,2,9,1,3,2,60
418143,442485,2,1910,3,2,1,2,2,9,2,3,1,59
436145,435314,2,1402,3,1,1,1,2,9,2,3,2,25
435464,437288,2,1458,3,1,1,4,1,9,1,2,2,38
435464,437288,2,1458,3,1,1,4,2,19,1,3,1,28
439015,431739,2,1546,3,1,1,1,1,1,1,3,2,20
427833,435806,2,1615,6,1,1,1,1,9,1,3,2,68
427833,435806,2,1615,6,1,1,1,2,8,1,3,1,52
427833,435806,2,1615,6,1,1,1,2,8,2,3,2,19
431487,433580,1,30,3,1,7,1,1,8,3,3,2,30
425576,434243,2,2245,3,1,4,1,2,1,1,1,1,25
424320,427890,2,1251,1,1,1,1,1,9,2,3,1,4
432151,427338,3,1806,1,1,1,1,1,9,1,3,1,36
432151,427338,3,1806,1,1,1,1,2,9,1,3,1,31
432151,427338,3,1806,1,1,1,1,2,9,2,3,2,29
